1,2,2,"[1, 2, 4]","[200, 3, 240, 1, 220, 1]"
1,1,2,"[1, 4, 2]","[200, 2, 220, 2, 240, 3]"
1,1,2,"[2, 1, 4]","[240, 1, 230, 2, 220, 3]"
2,1,1,"[1, 4, 2]","[200, 1, 250, 1, 240, 3]"
1,1,1,"[4, 2, 1]","[250, 2, 210, 3, 230, 1]"
1,1,2,"[2, 4, 1]","[240, 1, 220, 3, 200, 2]"
2,1,1,"[1, 2, 4]","[200, 3, 210, 1, 250, 1]"
2,2,1,"[1, 2, 4]","[230, 3, 210, 3, 220, 3]"
1,2,1,"[1, 2, 4]","[230, 1, 240, 1, 250, 1]"
2,1,1,"[1, 4, 2]","[230, 2, 220, 2, 210, 2]"
2,1,2,"[1, 4, 2]","[200, 3, 220, 2, 240, 3]"
1,1,1,"[4, 2, 1]","[220, 1, 210, 3, 230, 1]"s
