[0.0, 0.005931854248046875]
[-3.3950805665483585e-05, -0.00270843505859375]
[0.009487533569334516, -0.0002956390380859375]
[0.009400463104242363, 0.010242462158203125]
[0.019011402130132637, -0.000591278076171875]
[0.028489780426028233, -0.0060558319091796875]
[0.02845621109008789, 0.0031185150146484375]
[0.037994098663325815, -0.0001049041748046875]
[0.02871294021606019, -0.01010894775390625]
[0.019043731689457388, 0.000591278076171875]
[0.02867221832276101, 0.0057315826416015625]
[0.019246578216552734, -0.002899169921875]
[0.01922702789307351, -0.0002288818359375]
[0.00962009429932209, 0.01026153564453125]
[0.01926298141479066, -0.000591278076171875]
[0.02864036560058736, -0.0058650970458984375]
[0.019006729125976562, 0.0034046173095703125]
[0.009450626373293858, -0.000152587890625]
[0.0189477920532255, -0.01007080078125]
[0.018825244903567295, 0.0006008148193359375]
[-0.00984048843383789, 0.0055217742919921875]
[-0.00020570755004456487, -0.0031185150146484375]
[-0.00026702880858664457, -0.0001621246337890625]
[-0.009927463531496983, 0.010232925415039062]
[-0.009992027282713423, -0.0006008148193359375]
[-0.009889030456541548, -0.0056743621826171875]
[-0.009889030456541548, 0.0035858154296875]
[0.009333133697509766, -0.000209808349609375]
[0.009288406372064628, -0.010061264038085938]
[0.018904876708980112, 0.0006008148193359375]
[0.0092688560485783, 0.005340576171875]
[0.018952751159666548, -0.0033092498779296875]
[0.02863512039185423, -0.0001049041748046875]
[0.03798370361327841, 0.010213851928710938]
[0.05726289749145508, -0.0006103515625]
[0.057337570190426845, -0.0054931640625]
[0.057155895233151455, 0.003814697265625]
[0.06680593490600728, -0.00026702880859375]
[0.057059288024902344, -0.010061264038085938]
[0.057155895233151455, 0.0006008148193359375]
[0.057130718231206856, 0.005092620849609375]
[0.06658506393432617, -0.00354766845703125]
[0.06655559539795064, -2.86102294921875e-05]
[0.05696334838867756, 0.0101470947265625]
[0.04720239639282653, -0.0006198883056640625]
[0.04741239547729492, -0.0052642822265625]
[0.0472986221313505, 0.004062652587890625]
[0.028179550170904122, -0.0003337860107421875]
[0.018556308746340733, -0.009975433349609375]
[0.008932685852052202, 0.0006103515625]
[-0.010302162170411577, 0.0048828125]
[-0.029312324523928623, -0.0037384033203125]
[-0.029423236846930934, 3.814697265625e-05]
[-0.03902006149291992, 0.01007080078125]
[-0.0485139846801772, -0.0006198883056640625]
[-0.058113193511957206, -0.0050830841064453125]
[-0.04849281311035014, 0.0042819976806640625]
[-0.05790481567382244, -0.000362396240234375]
[-0.03884477615356019, -0.009946823120117188]
[-0.04842338562011861, 0.0006103515625]
[-0.03890151977539347, 0.0046825408935546875]
[-0.029322528839109907, -0.003986358642578125]
[-0.019750118255615234, 0.0001049041748046875]
[-0.01965188980102539, 0.010013580322265625]
[-0.029194927215577593, -0.0006198883056640625]
[-0.01957845687866211, -0.0048542022705078125]
[-0.029146289825440874, 0.004558563232421875]
[-0.029096317291262608, -0.0004100799560546875]
[-0.038665771484382105, -0.009889602661132812]
[-0.05782365798950195, 0.0006198883056640625]
[-0.057860755920408735, 0.0044536590576171875]
[-0.05782489776611044, -0.00423431396484375]
[-0.048189258575440874, 0.000171661376953125]
[-0.05781211853027912, 0.009937286376953125]
[-0.0674285888671875, -0.0006389617919921875]
[-0.05782289505005167, -0.004673004150390625]
[-0.06740865707397603, 0.0048542022705078125]
[-0.06746606826781942, -0.00041961669921875]
[-0.0673055648803711, -0.009851455688476562]
[-0.05768384933472248, 0.0006389617919921875]
[-0.06742687225342081, 0.0042724609375]
[-0.06730518341063885, -0.0045013427734375]
[-0.04816761016845561, 0.0002002716064453125]
[-0.05795097351074219, 0.009918212890625]
[-0.048227500915530186, -0.000629425048828125]
[-0.03880910873412802, -0.0045013427734375]
[-0.03886222839355469, 0.0050449371337890625]
[-0.048414421081538705, -0.0004673004150390625]
[-0.029203414916999293, -0.009822845458984375]
[-0.029470920562751246, 0.0006389617919921875]
[-0.019917488098151637, 0.004100799560546875]
[-0.01977500915527486, -0.004730224609375]
