[0.0, 0.09421348571777344]
[-0.009696006774895238, 0.1016998291015625]
[-0.00015296936035014141, 0.10130882263183594]
[-0.00987215042114542, 0.09334564208984375]
[-0.009577560424801845, 0.1006317138671875]
[-0.02875108718871644, 0.10669708251953125]
[-0.038561630249020595, 0.09987831115722656]
[-0.038672542572008695, 0.09973526000976562]
[-0.048129749298084334, 0.10854721069335938]
[-0.05772705078125284, 0.10020256042480469]
[-0.05777139663695152, 0.09442329406738281]
[-0.06738748550414186, 0.1016998291015625]
[-0.05785675048826988, 0.10148048400878906]
[-0.06731796264647727, 0.09312629699707031]
[-0.05781402587890483, 0.10080337524414062]
[-0.06738224029540163, 0.10652542114257812]
[-0.07696113586425213, 0.09974479675292969]
[-0.04813766479491477, 0.09964942932128906]
[-0.04827699661253604, 0.10843276977539062]
[-0.05790023803709943, 0.10058403015136719]
[-0.038668060302732954, 0.09491920471191406]
[-0.04818277359008505, 0.10207176208496094]
[-0.04815874099730877, 0.101470947265625]
[-0.03867235183715678, 0.09317398071289062]
[-0.029057884216300067, 0.10094642639160156]
[-0.038636398315425424, 0.10630607604980469]
[-0.038573360443116655, 0.0994110107421875]
[-0.03859195709228658, 0.09964942932128906]
[-0.03867902755736452, 0.10850906372070312]
[-0.038609504699699926, 0.10061264038085938]
[-0.029057312011715908, 0.09480476379394531]
[-0.03862543106078675, 0.10157585144042969]
[-0.029077148437494316, 0.10079383850097656]
[-0.02888631820678711, 0.09224891662597656]
[-0.019403648376453475, 0.09977340698242188]
[-0.019403648376453475, 0.10491371154785156]
[-0.009894561767566756, 0.09781837463378906]
[-0.01934366226196005, 0.09801864624023438]
[-0.019295787811273613, 0.1056671142578125]
[-0.009547233581535863, 0.09731292724609375]
[4.959106448154671e-06, 0.09167671203613281]
[-0.019122600555412816, 0.09906768798828125]
[5.407333373597112e-05, 0.09816169738769531]
[-0.009476947784420986, 0.0890350341796875]
[-0.009440708160397548, 0.09600639343261719]
[-0.0190991401672278, 0.10184288024902344]
[-0.018954658508292255, 0.09503364562988281]
[-0.00945959091185955, 0.09592056274414062]
[-0.019055747985838423, 0.10456085205078125]
[-0.018895244598382988, 0.09650230407714844]
[-0.009454822540277519, 0.09084701538085938]
[-0.009363460540768642, 0.09842872619628906]
[-0.01884613037109517, 0.09630203247070312]
[-0.019054508209215726, 0.08824348449707031]
[-0.009443187713621626, 0.09639739990234375]
[-0.019129085540761537, 0.10109901428222656]
[-0.018984603881833095, 0.09465217590332031]
[-0.0190381050109778, 0.09625434875488281]
[-0.02856359481810955, 0.10460853576660156]
[-0.018995380401605644, 0.09654998779296875]
[-0.019049263000482597, 0.09163856506347656]
[-0.028708076477052202, 0.09883880615234375]
[-0.028674507141104755, 0.09693145751953125]
[-0.028658580780025034, 0.08824348449707031]
[-0.019209766387938032, 0.09629249572753906]
[-0.028772354125976562, 0.10058403015136719]
[-0.01919698715209961, 0.09372711181640625]
[-5.512237548543908e-05, 0.09449005126953125]
[-0.00966758728027628, 0.10359764099121094]
[-0.009683895111081142, 0.09505271911621094]
[-0.009586429595934476, 0.09022712707519531]
[-4.663467407084454e-05, 0.09756088256835938]
[-0.009561252593989877, 0.09563446044921875]
[-0.009572029113762426, 0.08764266967773438]
[6.866455080967171e-06, 0.09577751159667969]
[-2.8991699210223487e-05, 0.100555419921875]
[-0.009488201141351738, 0.09394645690917969]
[4.3678283702774934e-05, 0.09537696838378906]
[-0.009540462493887958, 0.10447502136230469]
[-0.01919403076171733, 0.09600639343261719]
[-0.019119358062738456, 0.09156227111816406]
[-0.02872467041015625, 0.09916305541992188]
[-0.028851222991939096, 0.09687423706054688]
[-0.02886877059935955, 0.08894920349121094]
[-0.028932666778551663, 0.09730339050292969]
[-0.03846807479857972, 0.10184288024902344]
[-0.038579845428465376, 0.0949859619140625]
[-0.03853588104247052, 0.09717941284179688]
[-0.038583374023431816, 0.10549545288085938]
[-0.03866481781005149, 0.09744644165039062]
[-0.02899370193480877, 0.09278297424316406]
[-0.038536357879628724, 0.10019302368164062]
[-0.0385666847228876, 0.09755134582519531]
[-0.03863096237181196, 0.08971214294433594]
[-0.019542598724363813, 0.09778976440429688]
[-0.009884643554677552, 0.10219573974609375]
[-0.00029535293577964694, 0.09555816650390625]
[0.018789100646984025, 0.09766578674316406]
[0.00936536788940856, 0.10652542114257812]
[-0.00011901855468465783, 0.09845733642578125]
[0.019150924682612924, 0.09440422058105469]
[0.019299697875979405, 0.10186195373535156]
[0.01945781707763672, 0.09913444519042969]
[0.00997304916381836, 0.09128570556640625]
[0.0003944396972670461, 0.09945869445800781]
[0.009980201721191406, 0.10334014892578125]
[0.010208511352544747, 0.09679794311523438]
[0.010145473480228873, 0.09947776794433594]
[0.010117530822761012, 0.10784149169921875]
[0.010171031951912823, 0.099639892578125]
[0.010111999511721592, 0.09562492370605469]
[0.019664192199712716, 0.10286331176757812]
[0.019586849212650748, 0.09958267211914062]
[0.010092067718510123, 0.09174346923828125]
[0.01005849838256978, 0.09978294372558594]
[0.010090541839595346, 0.10342597961425781]
[0.010042285919190874, 0.09715080261230469]
[0.019575786590579014, 0.09973526000976562]
[0.01003675460815856, 0.10770797729492188]
[0.000527667999264736, 0.09950637817382812]
[0.010176086425779829, 0.09561538696289062]
[0.00048503875732563984, 0.10293960571289062]
[0.0005118370056180765, 0.09934425354003906]
[-0.02821817398071147, 0.09139060974121094]
[-0.028299617767331142, 0.09866714477539062]
[-0.05694932937621644, 0.1024627685546875]
[-0.05700407028197674, 0.0954437255859375]
[-0.057013607025147905, 0.09847640991210938]
[-0.08585863113402326, 0.10622978210449219]
[-0.08573560714721395, 0.09817123413085938]
[-0.08573560714721395, 0.09471893310546875]
[-0.09540557861326704, 0.10229110717773438]
[-0.11454706192015607, 0.09856224060058594]
[-0.11458339691161257, 0.09091377258300781]
[-0.11467046737670472, 0.09896278381347656]
[-0.1146649360656653, 0.102386474609375]
[-0.12413692474364524, 0.09591102600097656]
[-0.11469049453734925, 0.09934425354003906]
[-0.11462268829344424, 0.10728836059570312]
[-0.12417840957641602, 0.09904861450195312]
[-0.1049032211303711, 0.09533882141113281]
[-0.11448907852172141, 0.10298728942871094]
[-0.10496721267699627, 0.09903907775878906]
[-0.10488348007201154, 0.09138107299804688]
[-0.10478172302246236, 0.09935379028320312]
[-0.1047821044921875, 0.1024627685546875]
[-0.104644775390625, 0.09553909301757812]
[-0.09517116546629723, 0.09921073913574219]
[-0.10469627380371094, 0.10694503784179688]
[-0.10477161407470703, 0.09912490844726562]
[-0.085613441467288, 0.09593009948730469]
[-0.10485668182373331, 0.10361671447753906]
[-0.09536666870116761, 0.09917259216308594]
[-0.11440877914429137, 0.09166717529296875]
[-0.1145261764526353, 0.09953498840332031]
[-0.12404994964599325, 0.102386474609375]
[-0.12408742904661807, 0.09537696838378906]
[-0.11465301513671022, 0.09934425354003906]
[-0.10500059127807049, 0.10707855224609375]
[-0.10512876510620117, 0.09929656982421875]
[-0.10501136779784304, 0.09617805480957031]
[-0.09549665451049094, 0.10395050048828125]
[-0.08609809875488139, 0.09939193725585938]
[-0.08606061935424236, 0.09202003479003906]
[-0.07643108367918927, 0.10003089904785156]
[-0.08598680496215394, 0.10280609130859375]
[-0.06687164306639914, 0.09587287902832031]
[-0.0668560028076115, 0.09996414184570312]
[-0.07648773193358949, 0.107421875]
[-0.0763164520263544, 0.09965896606445312]
