[0.0, 0.16839981079101562]
[-0.0001334190368638133, 0.16008377075195312]
[-0.00967521667480753, 0.1692676544189453]
[-0.019139957427974252, 0.17271041870117188]
[-0.018943977355959873, 0.1653289794921875]
[-0.01897468566894389, 0.16884803771972656]
[-0.019231796264648438, 0.1776885986328125]
[-0.019023418426513672, 0.16860008239746094]
[0.00026187896728657734, 0.1647186279296875]
[-0.009082412719735089, 0.1732349395751953]
[-0.009369850158698512, 0.16864776611328125]
[0.00014801025390198674, 0.16019821166992188]
[-3.757476807209059e-05, 0.1694965362548828]
[-0.009814453125002842, 0.17261505126953125]
[-0.019212055206295986, 0.16504287719726562]
[-0.019195747375491123, 0.16902923583984375]
[-0.03846216201782937, 0.17740249633789062]
[-0.04794521331786683, 0.16837120056152344]
[-0.057614326477043676, 0.164794921875]
[-0.06712541580200337, 0.17305374145507812]
[-0.06708106994628338, 0.16715049743652344]
[-0.07650547027587606, 0.1587200164794922]
[-0.07663564682007262, 0.1672840118408203]
[-0.07673616409302042, 0.17122268676757812]
[-0.06709451675414613, 0.1642608642578125]
[-0.057339096069334516, 0.16885757446289062]
[-0.04792423248290589, 0.1770305633544922]
[-0.05734987258911417, 0.16809463500976562]
[-0.04791545867919922, 0.16498565673828125]
[-0.03848104476928427, 0.17317771911621094]
[-0.038447475433343925, 0.1677227020263672]
[-0.02905740737914897, 0.1598358154296875]
[-0.019291591644282846, 0.1686382293701172]
[-0.010010147094725141, 0.1714611053466797]
[-0.009930610656731176, 0.16378402709960938]
[-0.0005657196044879242, 0.16862869262695312]
[-0.000442695617671518, 0.17671585083007812]
[-0.0001448631286606883, 0.1675891876220703]
[-0.009716606140131034, 0.1649951934814453]
[-0.0002502441406164735, 0.17404556274414062]
[-0.009622001647947798, 0.1681995391845703]
[-0.00958366394043253, 0.16008377075195312]
[-0.009574127197275573, 0.16902923583984375]
[-0.019257164001466265, 0.17095565795898438]
[-0.019217300415043326, 0.16294479370117188]
[-0.019210147857663173, 0.16780853271484375]
[-0.028726005554197798, 0.1760578155517578]
[-0.028590679168694066, 0.1673126220703125]
[-0.028383827209466972, 0.1645374298095703]
[-0.03807458877563619, 0.1733875274658203]
[-0.02888965606689453, 0.16737937927246094]
[-0.01917304992675639, 0.15932083129882812]
[-0.00015926361083984375, 0.1681995391845703]
[-0.0097310066223244, 0.17075538635253906]
[0.009393310546869316, 0.1620197296142578]
[0.009122180938717861, 0.1683807373046875]
[0.00937442779541442, 0.17647743225097656]
[0.009165668487554512, 0.16739845275878906]
[0.01908588409423828, 0.1645946502685547]
[0.018964099884037466, 0.17316818237304688]
[0.018846702575686436, 0.16534805297851562]
[0.018769645690916548, 0.15783309936523438]
[0.009368801116949044, 0.16626358032226562]
[0.00937442779541442, 0.1674938201904297]
[-0.00028514862060546875, 0.1601409912109375]
[-0.00044088363647887263, 0.16701698303222656]
[-0.009769535064691581, 0.17629623413085938]
[-0.019107723236082563, 0.16775131225585938]
[-0.028481864929197798, 0.16714096069335938]
[-0.028669071197505502, 0.1758861541748047]
[-0.04762372970580486, 0.16691207885742188]
[-0.04783811569213725, 0.15926361083984375]
[-0.047946357727042255, 0.1682567596435547]
[-0.05737552642822408, 0.16859054565429688]
[-0.06710853576660014, 0.16045570373535156]
[-0.06709938049316833, 0.16435623168945312]
[-0.06719951629638388, 0.17409324645996094]
[-0.07662477493285991, 0.16576766967773438]
[-0.07659206390381001, 0.1637744903564453]
[-0.07674016952514506, 0.1732921600341797]
[-0.07658615112305256, 0.16614913940429688]
[-0.07659654617309997, 0.1580810546875]
[-0.06703758239746094, 0.16648292541503906]
[-0.06721525192261169, 0.1672840118408203]
[-0.057522201538084516, 0.15845298767089844]
[-0.0478789329528837, 0.16328811645507812]
[-0.047884178161623936, 0.17124176025390625]
[-0.03831205368042845, 0.1615428924560547]
[-0.02895593643189187, 0.15827178955078125]
[-0.02895202636718608, 0.17107009887695312]
[-0.029009437561043683, 0.16402244567871094]
[-0.028925609588632994, 0.15810012817382812]
[-0.028999900817872515, 0.166168212890625]
[-0.028902053833007812, 0.1677703857421875]
[-0.028752326965339137, 0.15921592712402344]
[-0.028854179382321377, 0.16675949096679688]
[-0.019372653961184483, 0.1743793487548828]
[-0.0192481040954533, 0.16305923461914062]
[-0.019382190704348545, 0.16279220581054688]
[-0.019351482391357422, 0.17208099365234375]
[-0.019350242614748936, 0.1638507843017578]
[-0.01924362182617756, 0.15546798706054688]
[-0.019330310821544572, 0.16534805297851562]
[-0.029073715209968043, 0.1658916473388672]
[-0.0287901878356962, 0.1548290252685547]
[-0.028908443450930577, 0.161590576171875]
[-0.028795814514161577, 0.17218589782714844]
[-0.01912746429444212, 0.16506195068359375]
[-0.038359165191657496, 0.16432762145996094]
[-0.04773054122925657, 0.1755237579345703]
[-0.05736331939697692, 0.1688861846923828]
[-0.05730981826782511, 0.16427993774414062]
[-0.04805183410644531, 0.17203330993652344]
[-0.057779216766356, 0.17152786254882812]
[-0.057539939880371094, 0.16259193420410156]
[-0.05786094665526775, 0.1700592041015625]
[-0.07695846557617614, 0.17618179321289062]
[-0.07695846557617614, 0.1688385009765625]
[-0.07671213150025125, 0.1654338836669922]
[-0.076873779296875, 0.17545700073242188]
[-0.07675600051880593, 0.1661396026611328]
[-0.08650655746460245, 0.1591968536376953]
[-0.07702388763428303, 0.16777992248535156]
[-0.08671541213989542, 0.16549110412597656]
[-0.08657093048095277, 0.1563549041748047]
[-0.07690134048461772, 0.1647663116455078]
[-0.07723188400268555, 0.17076492309570312]
[-0.06769008636474183, 0.1627826690673828]
[-0.06755313873290447, 0.16213417053222656]
[-0.05813264846801758, 0.1719188690185547]
[-0.05804882049560689, 0.16344070434570312]
[-0.0485808372497587, 0.15680313110351562]
[-0.05849151611327841, 0.16492843627929688]
[-0.04893016815184836, 0.1645660400390625]
[-0.04874200820921715, 0.1558399200439453]
[-0.039298057556152344, 0.16439437866210938]
[-0.03936824798584837, 0.17029762268066406]
[-0.03913698196411275, 0.1629924774169922]
[-0.029836654663085938, 0.16280174255371094]
[-0.020043373107910156, 0.17296791076660156]
[-0.02025928497314311, 0.16330718994140625]
[-0.02031669616699361, 0.15687942504882812]
[-0.010648345947267046, 0.16483306884765625]
